;Município;Regular;Suspenso;Cancelado;Liberado;Não Liberado;Base Histórica;Aptos a Votar*
0;ABDON BATISTA;2.423;25.0;170.0;0;0;0;2.423
1;ABELARDO LUZ;12.619;194.0;1.4680000000000002;0;0;0;12.619
2;AGROLÂNDIA;7.880;86.0;723.0;0;0;0;7.880
3;AGRONÔMICA;4.342;38.0;328.0;0;0;0;4.342
4;ÁGUA DOCE;5.367;48.0;555.0;0;0;0;5.367
5;ÁGUAS DE CHAPECÓ;4.715;68.0;401.0;0;0;0;4.715
6;ÁGUAS FRIAS;2.474;19.0;148.0;0;0;0;2.474
7;ÁGUAS MORNAS;5.769;14.0;535.0;0;0;0;5.769
8;ALFREDO WAGNER;7.171;66.0;1.0070000000000001;0;0;0;7.171
9;ALTO BELA VISTA;1.900;12.0;148.0;0;0;0;1.900
10;ANCHIETA;4.902;63.0;820.0;0;0;0;4.902
11;ANGELINA;4.871;15.0;569.0;0;0;0;4.871
12;ANITA GARIBALDI;7.407;141.0;918.0;0;0;0;7.407
13;ANITÁPOLIS;3.007;14.0;308.0;0;0;0;3.007
14;ANTÔNIO CARLOS;7.926;37.0;612.0;0;0;0;7.926
15;APIÚNA;8.047;83.0;730.0;0;0;0;8.047
16;ARABUTÃ;3.817;17.0;328.0;0;0;0;3.817
17;ARAQUARI;22.620;238.0;1.7009999999999998;0;0;0;22.620
18;ARARANGUÁ;50.581;709.0;4.7780000000000005;0;0;0;50.581
19;ARMAZÉM;6.418;58.0;525.0;0;0;0;6.418
20;ARROIO TRINTA;3.209;30.0;237.0;0;0;0;3.209
21;ARVOREDO;2.447;20.0;187.0;0;0;0;2.447
22;ASCURRA;6.152;59.0;658.0;0;0;0;6.152
23;ATALANTA;2.899;43.0;291.0;0;0;0;2.899
24;AURORA;5.061;39.0;295.0;0;0;0;5.061
25;BALNEÁRIO ARROIO DO SILVA;10.880;188.0;1.203;0;0;0;10.880
26;BALNEÁRIO BARRA DO SUL;10.403;85.0;970.0;0;0;0;10.403
27;BALNEÁRIO CAMBORIÚ;90.447;1.0490000000000002;18.929000000000002;0;0;0;90.447
28;BALNEÁRIO GAIVOTA;9.408;151.0;872.0;0;0;0;9.408
29;BALNEÁRIO PIÇARRAS;16.089;150.0;3.918;0;0;0;16.089
30;BALNEÁRIO RINCÃO;12.180;165.0;1.429;0;0;0;12.180
31;BANDEIRANTE;2.891;42.0;228.0;0;0;0;2.891
32;BARRA BONITA;1.865;22.0;146.0;0;0;0;1.865
33;BARRA VELHA;24.760;232.0;2.219;0;0;0;24.760
34;BELA VISTA DO TOLDO;5.079;48.0;411.0;0;0;0;5.079
35;BELMONTE;2.414;58.0;200.0;0;0;0;2.414
36;BENEDITO NOVO;8.201;62.0;838.0;0;0;0;8.201
37;BIGUAÇU;49.720;385.0;6.106;0;0;0;49.720
38;BLUMENAU;247.014;2.326;34.413000000000004;0;0;0;247.014
39;BOCAINA DO SUL;3.127;34.0;242.0;0;0;0;3.127
40;BOM JARDIM DA SERRA;3.593;20.0;387.0;0;0;0;3.593
41;BOM JESUS;2.483;29.0;178.0;0;0;0;2.483
42;BOM JESUS DO OESTE;1.875;15.0;139.0;0;0;0;1.875
43;BOM RETIRO;6.271;128.0;1.4669999999999999;0;0;0;6.271
44;BOMBINHAS;14.930;127.0;1.033;0;0;0;14.930
45;BOTUVERÁ;4.188;30.0;467.0;0;0;0;4.188
46;BRAÇO DO NORTE;24.086;278.0;1.9880000000000002;0;0;0;24.086
47;BRAÇO DO TROMBUDO;2.958;28.0;601.0;0;0;0;2.958
48;BRUNÓPOLIS;2.753;34.0;238.0;0;0;0;2.753
49;BRUSQUE;87.640;654.0;13.732000000000001;0;0;0;87.640
50;CAÇADOR;52.510;858.0;5.7;0;0;0;52.510
51;CAIBI;4.865;70.0;481.0;0;0;0;4.865
52;CALMON;3.158;56.0;347.0;0;0;0;3.158
53;CAMBORIÚ;51.322;681.0;8.478;0;0;0;51.322
54;CAMPO ALEGRE;9.588;88.0;968.0;0;0;0;9.588
55;CAMPO BELO DO SUL;5.913;88.0;576.0;0;0;0;5.913
56;CAMPO ERÊ;7.096;175.0;1.215;0;0;0;7.096
57;CAMPOS NOVOS;25.943;508.0;2.591;0;0;0;25.943
58;CANELINHA;9.051;92.0;925.0;0;0;0;9.051
